"Full Description Image Max Width","Max largh. immagine testo completo"
"Full Description Image Max Height","Max alt. immagine testo completo"
"Resize always to Max Values","Riporta sempre ai valori max"
"Send comments to email","Inoltra commenti a questa email"
"Should comments be pre-moderated","E' richiesta conferma?"
"Should user be logged in to leave a comment","E' richiesto l'accesso per inviare commenti?"
"Comments per Page","Commenti per pagina"
"The number of comments displayed per page","Numero di commenti su ogni pagina"
"RSS Feed","Feed RSS"
"Articles to show","Articoli da includere"
"Number of articles to show in the RSS feed.","Numero di articoli inclusi nel feed RSS"
"Enable Link ""View More""","Attiva link ""Continua"""
"e.g. ""news"" will make the news accessible from domain.com/news. Should not contain slashes. Leave blank for default - news","Ad es. scrivendo ""notizie"" la pagina avra' indirizzo dominio.it/notizie. Non inserire la barra rovesciata /. Lascia vuoto per usare il valore predefinito ""news""".
"Leave blank to disable","Lascia vuoto per disattivare"
"Use comma for multiple words","Se usi piu' termini dividili con la virgola"
"e.g. domain.com/news/url_key","es. dominio.it/notizie/url_leggibile"
"e.g. Download attached document - default","es. Scarica il documento allegato - default"
